;;0114 Upplands Väsby;0115 Vallentuna;0117 Österåker;0120 Värmdö;0123 Järfälla;0125 Ekerö;0126 Huddinge;0127 Botkyrka;0128 Salem;0136 Haninge;0138 Tyresö;0139 Upplands-Bro;0140 Nykvarn;0160 Täby;0162 Danderyd;0163 Sollentuna;0180 Stockholm;0181 Södertälje;0182 Nacka;0183 Sundbyberg;0184 Solna;0186 Lidingö;0187 Vaxholm;0188 Norrtälje;0191 Sigtuna;0192 Nynäshamn;0305 Håbo;0319 Älvkarleby;0330 Knivsta;0331 Heby;0360 Tierp;0380 Uppsala;0381 Enköping;0382 Östhammar;0428 Vingåker;0461 Gnesta;0480 Nyköping;0481 Oxelösund;0482 Flen;0483 Katrineholm;0484 Eskilstuna;0486 Strängnäs;0488 Trosa;0509 Ödeshög;0512 Ydre;0513 Kinda;0560 Boxholm;0561 Åtvidaberg;0562 Finspång;0563 Valdemarsvik;0580 Linköping;0581 Norrköping;0582 Söderköping;0583 Motala;0584 Vadstena;0586 Mjölby;0604 Aneby;0617 Gnosjö;0642 Mullsjö;0643 Habo;0662 Gislaved;0665 Vaggeryd;0680 Jönköping;0682 Nässjö;0683 Värnamo;0684 Sävsjö;0685 Vetlanda;0686 Eksjö;0687 Tranås;0760 Uppvidinge;0761 Lessebo;0763 Tingsryd;0764 Alvesta;0765 Älmhult;0767 Markaryd;0780 Växjö;0781 Ljungby;0821 Högsby;0834 Torsås;0840 Mörbylånga;0860 Hultsfred;0861 Mönsterås;0862 Emmaboda;0880 Kalmar;0881 Nybro;0882 Oskarshamn;0883 Västervik;0884 Vimmerby;0885 Borgholm;0980 Gotland;1060 Olofström;1080 Karlskrona;1081 Ronneby;1082 Karlshamn;1083 Sölvesborg;1214 Svalöv;1230 Staffanstorp;1231 Burlöv;1233 Vellinge;1256 Östra Göinge;1257 Örkelljunga;1260 Bjuv;1261 Kävlinge;1262 Lomma;1263 Svedala;1264 Skurup;1265 Sjöbo;1266 Hörby;1267 Höör;1270 Tomelilla;1272 Bromölla;1273 Osby;1275 Perstorp;1276 Klippan;1277 Åstorp;1278 Båstad;1280 Malmö;1281 Lund;1282 Landskrona;1283 Helsingborg;1284 Höganäs;1285 Eslöv;1286 Ystad;1287 Trelleborg;1290 Kristianstad;1291 Simrishamn;1292 Ängelholm;1293 Hässleholm;1315 Hylte;1380 Halmstad;1381 Laholm;1382 Falkenberg;1383 Varberg;1384 Kungsbacka;1401 Härryda;1402 Partille;1407 Öckerö;1415 Stenungsund;1419 Tjörn;1421 Orust;1427 Sotenäs;1430 Munkedal;1435 Tanum;1438 Dals-Ed;1439 Färgelanda;1440 Ale;1441 Lerum;1442 Vårgårda;1443 Bollebygd;1444 Grästorp;1445 Essunga;1446 Karlsborg;1447 Gullspång;1452 Tranemo;1460 Bengtsfors;1461 Mellerud;1462 Lilla Edet;1463 Mark;1465 Svenljunga;1466 Herrljunga;1470 Vara;1471 Götene;1472 Tibro;1473 Töreboda;1480 Göteborg;1481 Mölndal;1482 Kungälv;1484 Lysekil;1485 Uddevalla;1486 Strömstad;1487 Vänersborg;1488 Trollhättan;1489 Alingsås;1490 Borås;1491 Ulricehamn;1492 Åmål;1493 Mariestad;1494 Lidköping;1495 Skara;1496 Skövde;1497 Hjo;1498 Tidaholm;1499 Falköping;1715 Kil;1730 Eda;1737 Torsby;1760 Storfors;1761 Hammarö;1762 Munkfors;1763 Forshaga;1764 Grums;1765 Årjäng;1766 Sunne;1780 Karlstad;1781 Kristinehamn;1782 Filipstad;1783 Hagfors;1784 Arvika;1785 Säffle;1814 Lekeberg;1860 Laxå;1861 Hallsberg;1862 Degerfors;1863 Hällefors;1864 Ljusnarsberg;1880 Örebro;1881 Kumla;1882 Askersund;1883 Karlskoga;1884 Nora;1885 Lindesberg;1904 Skinnskatteberg;1907 Surahammar;1960 Kungsör;1961 Hallstahammar;1962 Norberg;1980 Västerås;1981 Sala;1982 Fagersta;1983 Köping;1984 Arboga;2021 Vansbro;2023 Malung-Sälen;2026 Gagnef;2029 Leksand;2031 Rättvik;2034 Orsa;2039 Älvdalen;2061 Smedjebacken;2062 Mora;2080 Falun;2081 Borlänge;2082 Säter;2083 Hedemora;2084 Avesta;2085 Ludvika;2101 Ockelbo;2104 Hofors;2121 Ovanåker;2132 Nordanstig;2161 Ljusdal;2180 Gävle;2181 Sandviken;2182 Söderhamn;2183 Bollnäs;2184 Hudiksvall;2260 Ånge;2262 Timrå;2280 Härnösand;2281 Sundsvall;2282 Kramfors;2283 Sollefteå;2284 Örnsköldsvik;2303 Ragunda;2305 Bräcke;2309 Krokom;2313 Strömsund;2321 Åre;2326 Berg;2361 Härjedalen;2380 Östersund;2401 Nordmaling;2403 Bjurholm;2404 Vindeln;2409 Robertsfors;2417 Norsjö;2418 Malå;2421 Storuman;2422 Sorsele;2425 Dorotea;2460 Vännäs;2462 Vilhelmina;2463 Åsele;2480 Umeå;2481 Lycksele;2482 Skellefteå;2505 Arvidsjaur;2506 Arjeplog;2510 Jokkmokk;2513 Överkalix;2514 Kalix;2518 Övertorneå;2521 Pajala;2523 Gällivare;2560 Älvsbyn;2580 Luleå;2581 Piteå;2582 Boden;2583 Haparanda;2584 Kiruna
;25-34 år;6648;3647;4860;4946;11863;2359;15662;13630;1793;14267;5571;4219;1181;7362;2933;8689;180391;15088;12532;11984;18853;4983;958;7519;7007;3613;2501;1097;2342;1748;2559;41282;6037;2537;949;1261;6865;1367;1607;4349;14168;3972;1449;577;332;1048;587;1187;2564;771;26915;21039;1493;5049;706;3582;844;1149;825;1391;3488;1773;21713;4002;4265;1356;3166;2142;2283;1101;874;1261;2373;2115;1216;14346;3508;558;665;1332;1526;1487;933;10588;2410;3259;3922;1862;850;6865;1561;8644;3207;3893;1860;1833;2475;2417;2632;1809;1178;1865;3107;1572;2359;1799;2252;1899;1821;1533;1345;1475;958;2151;1963;1435;64907;20505;5928;21830;2271;4246;3213;5552;11219;1736;4948;6366;1203;14900;2846;5547;7693;8042;3516;4731;1105;3094;1541;1373;819;1191;1347;560;758;4085;4071;1495;954;612;603;750;470;1297;1014;1043;1888;3952;1180;1112;1849;1323;1349;986;110821;10760;5920;1372;7587;1721;4915;8641;5054;16617;2840;1275;2936;4982;2352;9167;1014;1601;4085;1342;1073;1237;386;1655;416;1263;1087;1170;1495;14589;2743;1170;1144;2982;1620;982;533;1878;971;759;451;23960;2672;1155;3738;1092;2689;432;1132;920;2067;588;22478;2694;1607;3198;1688;751;1147;1154;1537;1048;823;723;1043;2374;7562;7466;1256;1746;2793;3317;667;1092;1276;1017;2007;14314;4672;2869;3102;4356;1019;2001;2932;12890;1811;1906;6433;583;599;1400;1235;1788;754;1141;9117;715;269;525;737;395;308;548;246;241;1117;758;284;22421;1558;8915;753;292;593;348;1731;360;562;2340;923;11033;5272;3515;904;3208
;35-44 år;6859;4707;5776;5635;11508;3784;16731;13776;2169;13255;6218;4184;1463;9120;3501;10143;150389;13532;14603;8661;13854;5989;1246;6571;7118;3287;2729;1010;2868;1435;2264;29839;5162;2182;875;1350;6475;1310;1589;3656;12826;4323;1575;563;336;984;532;1172;2347;717;20244;17604;1676;4811;671;3225;758;1129;817;1798;3297;1719;17382;3502;3946;1218;2917;1925;1922;1020;975;1211;2382;2452;1114;11565;3157;608;690;1770;1353;1374;963;8258;2122;2927;3516;1636;944;6219;1299;7845;3383;3386;1881;1817;3681;2826;4370;1565;1148;1922;4343;3273;3231;1920;2136;1823;2085;1563;1445;1437;786;1965;2040;1562;52480;15779;5898;18791;2960;4283;3301;5480;9819;1584;4902;5784;1185;12313;2748;5098;7462;10105;5442;5618;1267;3155;1673;1372;854;1176;1319;488;670;4294;5862;1348;1211;544;604;710;410;1325;886;889;1748;3879;1119;984;1766;1402;1204;932;83190;9723;5543;1400;6402;1662;4290;6837;4980;13959;2766;1199;2472;4496;2060;6598;982;1290;3743;1357;880;1117;366;2251;327;1265;880;1037;1267;10953;2474;980;1019;2787;1433;1089;527;1842;916;574;443;19431;2707;1093;3043;1117;2550;406;1077;952;1763;572;18938;2457;1482;2827;1359;656;1070;1080;1572;969;612;727;1123;2164;7188;5990;1240;1554;2471;2885;568;888;1149;925;1882;12027;4158;2305;2814;3847;858;2019;2688;11548;1670;1861;6367;478;503;1833;1090;1606;675;952;7520;750;195;583;724;382;311;582;241;218;1010;635;250;16913;1256;8181;635;273;459;255;1453;297;429;1864;816;8994;4728;2963;932;2447
;45-54 år;6622;5307;7290;7200;10610;4742;16303;13282;2603;12562;7585;3981;1733;11091;5114;11268;125477;13603;15877;6350;9348;6913;1979;7688;6801;3920;3449;1222;2710;1653;2700;27060;6023;2676;1096;1502;6978;1350;1921;4209;13814;5087;1934;662;456;1256;706;1529;2845;918;19758;18169;1845;5845;925;3789;793;1350;926;1569;4094;1887;17598;3890;4582;1422;3460;2148;2429;1236;1069;1540;2376;2263;1287;11361;3794;671;936;1933;1681;1657;1178;8657;2528;3597;4541;1949;1230;7596;1722;8524;3699;4241;2278;2016;3726;2392;5795;1958;1293;2202;4955;3959;3237;2223;2595;2005;2315;1559;1725;1665;920;2349;2266;1861;40988;14548;5909;19683;3755;4642;3837;6177;10859;2145;5698;6779;1366;12790;3293;5567;8180;12901;5911;5425;1783;3902;1971;1931;1172;1280;1528;569;843;4452;6502;1540;1330;785;692;838;607;1517;1192;1046;1769;4577;1367;1214;2103;1763;1417;1150;70930;9781;6236;1750;7165;1680;5063;7606;5264;14371;3172;1643;2993;5212;2523;6854;1163;1634;4040;1544;1072;1486;519;2326;445;1574;1170;1346;1733;11577;3048;1256;1439;3250;1983;1007;723;2058;1294;801;603;19179;3048;1353;4038;1359;2934;528;1298;1140;2009;647;20323;2824;1698;3159;1751;857;1331;1244;2007;1296;888;853;1340;2532;7317;6405;1341;1889;2846;3190;745;1197;1431;1148;2337;13440;5258;3273;3236;4804;1175;2528;3001;13515;2242;2213;7051;605;892;2041;1270;1499;773;1248;7907;884;271;621;759;481;323;689;295;282;1096;737;310;15121;1411;9130;701;344;596;330;2059;470;614;2072;1017;10179;5499;3574;1086;2923
;55-64 år;5022;3914;5252;5547;8514;3505;12312;10233;1631;9656;5700;3156;1278;8245;3800;8405;109225;11539;11793;5334;8096;5466;1526;8628;5429;3588;2516;1254;1816;1961;2749;23614;5595;3022;1228;1374;6890;1497;2223;4255;12413;4471;1696;670;550;1298;760;1515;2762;1078;17207;16476;1876;5586;1032;3221;945;1145;833;1256;3829;1747;15222;3833;4465;1406;3418;2201;2140;1174;1024;1683;2390;1975;1200;9658;3655;856;988;1958;2031;1783;1327;7781;2640;3221;4969;2043;1629;8175;1819;7536;3554;4117;2319;1695;2615;2156;4361;1790;1382;1933;3340;2739;2321;2018;2679;2052;2161;1799;1528;1571;943;2230;1720;2109;35360;12233;5381;17188;3396;4015;4086;5837;10343;2872;5208;6444;1330;11891;3352;5720;8157;10234;4411;4539;1843;3264;2284;2293;1303;1313;1805;594;876;3367;4591;1434;1115;789;750;875;855;1564;1321;1270;1866;4431;1455;1243;2117;1856;1376;1350;62520;7732;5818;2055;6953;1569;4966;6802;4766;12868;3140;1660;3243;5142;2379;6405;1101;1750;4099;1461;1215;1631;583;1880;545;1417;1196;1327;1949;10876;3312;1367;1901;3291;2099;959;826;1961;1321;941;697;16435;2265;1641;3799;1334;2988;647;1279;1132;2039;780;17812;2908;1619;3340;1838;926;1347;1372;2064;1459;953;974;1567;2621;6923;6094;1500;2180;2958;3316;831;1373;1543;1329;2517;12240;4851;3496;3449;4853;1436;2255;3114;11887;2697;2652;6905;771;942;1830;1647;1408;1019;1405;7335;894;307;708;959;561;422;855;369;385;1050;936;386;12986;1568;9267;858;415;732;519;2231;645;843;2537;1050;9657;5283;3595;1370;3093
;65-74 år;4126;2695;4445;4416;6704;2506;8378;7387;1389;7483;3809;2580;1002;6448;2882;5910;83045;8328;9039;3871;6803;4729;1417;8888;3607;3361;2101;1251;1571;1848;2631;21250;4969;3246;1322;1486;6794;1652;2451;4147;11088;4489;1942;769;600;1424;782;1559;2771;1314;14485;14667;1989;5404;1222;3032;880;1141;959;1237;3171;1503;13558;3526;3813;1415;3372;2318;2206;1200;1064;1726;2400;1835;1312;9240;3368;829;1107;2378;1913;1817;1262;7425;2444;3355;5378;1990;2088;8321;1658;7517;3645;3950;2345;1447;2105;1752;4094;1701;1267;1594;3100;2294;2182;1829;2477;1940;1914;1822;1656;1664;803;2107;1537;2427;28229;11315;5146;14603;3775;3335;4429;5074;9670;3509;5168;6004;1260;10869;3584;5751;8214;8480;3307;3469;1769;2737;2540;2490;1712;1348;2008;656;963;2844;3733;1386;1120;790;819;1074;886;1552;1491;1324;1602;4242;1495;1252;2035;1864;1374;1310;50035;5807;4667;2309;6139;1597;4529;5857;4835;11016;3037;1662;3182;4742;2184;5795;1345;1492;3681;1567;1121;1724;660;1809;488;1362;1260;1281;1764;9944;3345;1507;1735;3537;2046;943;832;1949;1379;947;780;15036;2297;1767;3630;1505;3076;720;1317;1132;1960;872;15265;3031;1586;3186;1802;928;1401;1389;2373;1909;990;1019;1695;2997;7207;5533;1602;2102;3066;3356;968;1359;1697;1431;2749;10960;4810;3787;3664;5233;1347;2236;3430;11137;2833;2840;7267;800;977;1821;1812;1216;1071;1571;7331;1052;346;794;994;611;459;865;359;393;983;943;444;11990;1565;9209;820;394;762;558;2350;841;1130;2282;1051;8575;5485;3795;1687;2508
;75-84 år;2974;2176;3373;2808;5094;1986;5429;4783;1256;5349;3391;1645;770;5605;2640;4463;48865;5916;6336;2137;4426;3724;938;6404;2798;2419;1530;823;848;1203;1813;13670;3466;2209;865;984;5102;1275;1646;2833;7859;3077;1272;525;418;985;530;1134;1981;907;10287;9925;1366;3627;889;2217;511;659;624;824;2197;1047;9816;2375;2693;966;2383;1544;1770;784;724;1234;1505;1222;956;6364;2508;538;699;1470;1377;1241;953;4938;1971;2557;3977;1436;1425;5635;1379;5416;2742;3120;1714;919;2022;1235;3532;1221;914;1070;2311;2232;1437;1139;1614;1199;1269;1257;1191;1211;598;1417;1070;1752;17996;7702;3377;10071;2702;2288;3099;3609;6802;2348;3715;4597;823;7843;2304;3922;5415;6576;2300;2327;1178;2031;1530;1635;1033;954;1322;521;568;2160;3031;850;724;507;491;811;580;1022;973;929;989;2777;954;825;1371;1175;1015;796;30574;3774;3524;1553;4348;1090;3393;4085;3410;7971;2108;1225;2475;3458;1499;3975;890;1136;2640;1092;712;1215;403;1146;406;1000;852;904;1166;6917;2291;1052;1289;2388;1612;628;562;1336;1023;797;548;10113;1681;1221;2969;1126;2168;475;953;773;1456;557;11205;2030;1151;2295;1446;694;967;934;1690;1303;676;727;1153;2052;4728;3780;1005;1456;2081;2405;538;888;1188;908;1870;7852;3633;2526;2528;3508;907;1558;2435;8150;1858;1984;5018;534;652;1144;1211;693;738;1049;4928;707;250;529;620;399;305;627;257;302;692;652;317;7678;1116;6343;657;293;475;432;1725;519;747;1613;771;5992;3547;2465;966;1754
;85-94 år;772;592;862;684;1593;518;1635;1286;320;1301;967;435;144;1743;1013;1371;16939;1862;1939;660;1568;1374;213;1931;761;673;312;261;242;457;682;4500;1138;711;240;248;1737;416;528;1092;2465;895;297;178;122;342;163;391;725;266;4032;3298;376;1305;309;751;179;248;200;206;850;347;3640;904;970;396;957;625;702;324;248;544;644;524;366;2291;926;201;221;428;533;449;338;1860;722;846;1335;550;476;1840;501;1885;984;1097;564;286;578;386;888;410;303;297;631;682;438;376;520;458;434;417;333;472;224;506;307;598;6960;2483;1082;3489;881;807;1076;1225;2465;810;1389;1694;324;2831;759;1489;1935;1959;714;912;374;641;473;526;352;385;432;164;207;556;936;283;211;200;196;243;203;369;408;340;298;1070;303;262;485;365;386;281;10864;1419;1292;552;1711;370;1150;1478;1184;3000;758;462;855;1193;517;1470;302;444;1080;350;307;470;121;376;168;325;293;332;448;2594;863;416;500;989;600;204;224;407;318;262;155;3351;448;349;963;305;693;148;287;234;500;179;3805;671;424;883;436;231;353;287;514;513;259;274;305;653;1580;1310;327;490;786;886;172;312;408;268;687;2526;1117;863;890;1193;327;445;783;2740;646;770;1720;217;181;354;462;218;272;379;1664;252;128;197;214;141;109;242;108;129;258;230;120;2555;393;2202;240;112;173;166;601;195;252;608;314;2009;1172;865;278;657
2020M07;5-14 år;6144;5128;6303;6364;10558;4656;16259;13105;2596;12413;6849;4254;1695;10355;4986;10714;108007;12362;15398;5797;7630;6712;1696;6579;6707;3391;3079;1139;3143;1598;2460;26981;5675;2458;1045;1460;6917;1343;1865;4191;13546;4733;1760;566;376;1091;588;1272;2530;761;19211;17652;1850;5074;682;3441;837;1168;951;2101;3811;1898;17164;3924;4177;1506;3371;2075;2228;1124;1154;1326;2689;2502;1221;11618;3188;700;765;1932;1608;1530;1087;8206;2325;3057;3851;1734;919;6438;1401;7869;3704;3631;1889;1861;3976;2617;5128;1984;1213;2086;4736;4137;3518;1951;2228;1800;2193;1579;1607;1587;955;2023;2314;1555;41321;14592;5786;17940;3375;4481;3296;5425;10359;1722;4958;6000;1409;12254;2952;5368;7823;11927;6117;5628;1540;3559;1783;1544;766;1235;1359;523;747;4431;6633;1535;1324;613;684;698;484;1404;1032;1017;1742;4281;1243;1086;1856;1550;1305;987;63726;8863;6012;1495;7009;1615;4883;7220;5305;13994;2869;1394;2646;4691;2150;6405;1053;1464;4164;1489;967;1086;396;2518;381;1418;1021;1038;1410;10176;2636;1179;1037;2838;1609;1210;584;1979;992;738;411;19231;3018;1166;3350;1279;2742;431;1188;1064;1967;637;18543;2744;1660;3100;1493;747;1041;1331;1693;973;667;738;1180;2224;7162;6613;1284;1701;2585;3175;611;1028;1263;1089;2020;11967;4440;2767;2999;4219;892;2075;2824;11440;1779;2053;6645;568;604;2193;1157;1441;753;907;7463;724;239;651;781;448;337;598;242;267;1150;679;271;14855;1462;8165;632;254;423;254;1522;359;589;1769;826;8398;4643;2873;1091;2516
;15-24 år;5196;4094;5483;5255;9305;3337;13854;11892;2091;10752;5965;3431;1261;8732;4453;8992;96381;11868;12112;4558;6854;5675;1463;6084;5791;2962;2601;921;2239;1473;2222;30798;5017;2131;1065;1123;6132;1074;1828;4019;12720;3950;1387;518;367;1026;547;1127;2215;668;22290;16644;1383;4637;696;3047;649;1140;790;1311;3518;1595;17490;3634;3852;1326;2982;1897;2255;1023;994;1238;2159;1855;1115;12209;3009;605;706;1310;1417;1388;970;8225;2055;2966;3445;1689;919;6028;1412;7994;2986;3446;1849;1522;2776;2211;4056;1713;1132;1811;3542;2689;2369;1784;1860;1604;1719;1452;1352;1459;849;1995;1914;1370;35879;19541;4965;16824;2746;3916;3035;4775;9969;1726;4318;5741;1212;11913;2673;4854;6707;10037;4313;4480;1497;3118;1460;1442;778;1129;1178;519;706;3563;4910;1286;1017;597;537;673;493;1276;953;929;1453;3796;1017;986;1695;1303;1188;1000;65221;7793;4977;1355;6363;1298;4419;7248;4507;13456;2617;1390;2548;4383;2146;6747;884;1361;3836;1223;759;1112;410;1592;342;1181;822;1102;1387;11655;2433;1136;1067;2622;1696;719;571;1665;1001;719;441;20243;2449;1119;3377;1069;2555;425;1012;933;1707;587;17945;2348;1375;2825;1537;726;952;994;1579;1076;765;717;954;1968;6580;6377;973;1606;2246;2687;511;1003;1152;904;2020;11888;4299;2480;2791;3974;940;2026;2678;11090;1832;1841;5714;445;630;1528;1100;1235;658;982;7173;767;240;525;602;370;314;535;230;222;1007;770;269;17083;1273;7922;604;246;449;315;1549;415;609;1582;914;9430;4638;3062;937;2486
;25-34 år;6655;3640;4891;4981;11910;2360;15635;13613;1809;14282;5603;4241;1198;7387;2926;8698;180591;15098;12538;11988;18823;4993;957;7522;7000;3611;2502;1103;2370;1742;2558;41124;6072;2550;966;1258;6883;1373;1622;4328;14182;3990;1464;573;331;1049;587;1190;2567;782;26749;21040;1493;5057;704;3604;849;1144;832;1391;3477;1771;21704;3999;4286;1352;3173;2148;2290;1099;879;1260;2392;2122;1221;14267;3522;562;674;1351;1526;1484;931;10562;2420;3258;3936;1868;854;6876;1559;8626;3218;3889;1859;1836;2501;2416;2644;1818;1194;1872;3146;1594;2385;1813;2268;1909;1805;1529;1354;1476;951;2140;1970;1437;64957;20308;5929;21835;2298;4271;3211;5597;11198;1742;4970;6389;1193;14894;2849;5556;7716;8073;3529;4745;1108;3112;1547;1377;821;1200;1350;562;753;4112;4107;1497;955;607;606;746;468;1291;1011;1047;1894;3980;1184;1124;1863;1325;1349;991;110758;10726;5941;1379;7589;1721;4922;8665;5058;16591;2852;1279;2944;4984;2346;9161;1020;1596;4073;1348;1081;1240;384;1671;412;1262;1093;1178;1494;14515;2749;1165;1151;2980;1616;988;543;1897;974;761;444;23898;2681;1149;3748;1107;2702;431;1135;914;2062;587;22547;2694;1612;3182;1691;750;1156;1162;1541;1058;820;725;1048;2385;7566;7435;1270;1752;2789;3316;667;1091;1270;1019;2004;14318;4690;2857;3105;4366;1029;2013;2941;12887;1818;1916;6440;591;603;1401;1243;1787;759;1147;9082;712;269;535;744;391;308;550;248;240;1119;760;286;22329;1556;8929;750;291;594;348;1736;356;557;2352;924;10987;5277;3538;903;3213
;35-44 år;6864;4708;5803;5657;11498;3797;16721;13790;2179;13289;6228;4214;1473;9155;3508;10155;149965;13563;14663;8627;13809;6001;1247;6602;7137;3294;2718;1003;2886;1439;2273;29850;5162;2186;877;1356;6481;1317;1587;3655;12812;4349;1591;569;337;982;532;1176;2345;717;20269;17618;1678;4814;671;3234;760;1132;815;1801;3296;1717;17387;3512;3939;1222;2913;1921;1921;1017;977;1207;2384;2463;1119;11563;3150;608;686;1772;1352;1370;961;8283;2129;2923;3520;1630;941;6236;1301;7857;3381;3380;1878;1807;3698;2829;4402;1574;1149;1923;4356;3296;3245;1925;2140;1825;2092;1564;1443;1439;786;1974;2043;1573;52410;15762;5901;18787;2963;4287;3310;5482;9837;1588;4925;5785;1185;12321;2745;5121;7486;10126;5450;5619;1263;3174;1671;1376;854;1177;1326;489;672;4307;5887;1348;1213;547;605;715;413;1322;887;892;1757;3880;1125;990;1769;1410;1205;935;83003;9691;5550;1402;6399;1661;4299;6838;5000;13961;2770;1196;2476;4498;2056;6598;984;1292;3737;1359;881;1115;364;2267;330;1259;881;1040;1278;10963;2483;975;1020;2789;1435;1098;526;1850;918;583;447;19419;2710;1097;3056;1115;2550;406;1078;952;1770;579;18957;2453;1483;2831;1362;661;1067;1087;1576;967;612;726;1136;2172;7178;5984;1237;1555;2477;2890;568;888;1150;930;1884;12021;4178;2302;2820;3855;858;2024;2686;11561;1673;1860;6371;480;502;1841;1088;1622;682;957;7524;749;198;585;731;385;311;581;241;219;1010;631;251;16890;1253;8188;632;274;455;255;1451;296;427;1870;814;8990;4736;2963;932;2435
;45-54 år;6623;5319;7298;7208;10602;4731;16277;13277;2609;12560;7579;3982;1734;11082;5105;11249;125441;13601;15881;6348;9362;6924;1976;7709;6794;3921;3449;1220;2722;1652;2710;27050;6042;2673;1101;1505;6981;1343;1922;4204;13812;5103;1941;664;456;1251;709;1526;2843;914;19769;18174;1852;5851;926;3785;790;1343;924;1567;4091;1884;17600;3895;4584;1421;3462;2147;2432;1234;1069;1540;2375;2264;1282;11367;3789;669;944;1934;1680;1650;1174;8665;2522;3597;4542;1952;1233;7596;1715;8524;3696;4238;2285;2012;3721;2392;5802;1953;1298;2208;4952;3962;3226;2226;2591;2004;2312;1566;1717;1668;915;2348;2260;1873;41001;14550;5908;19684;3760;4653;3842;6183;10874;2157;5718;6775;1365;12800;3304;5582;8197;12901;5907;5427;1785;3901;1969;1937;1178;1282;1527;570;842;4445;6491;1538;1330;784;691;830;610;1517;1192;1049;1773;4581;1370;1212;2108;1763;1422;1143;70931;9768;6236;1746;7173;1678;5066;7584;5259;14354;3174;1640;2993;5214;2525;6851;1162;1640;4041;1535;1071;1486;518;2332;442;1576;1172;1340;1734;11578;3056;1258;1437;3256;1979;1012;724;2055;1293;805;604;19187;3054;1355;4036;1361;2936;530;1293;1142;2012;649;20327;2819;1698;3152;1748;857;1329;1244;2004;1289;887;854;1343;2525;7313;6411;1338;1890;2839;3183;747;1197;1431;1148;2338;13426;5271;3279;3237;4814;1175;2536;3001;13518;2246;2209;7052;604;893;2040;1274;1505;773;1253;7900;885;269;620;761;479;322;688;298;280;1095;733;312;15119;1413;9128;699;346;595;330;2055;470;615;2075;1014;10171;5499;3573;1083;2913
;55-64 år;5008;3914;5262;5546;8516;3501;12291;10203;1631;9634;5688;3154;1279;8237;3789;8382;109159;11547;11775;5335;8098;5461;1527;8640;5432;3587;2507;1255;1813;1960;2741;23585;5600;3022;1229;1372;6900;1494;2231;4251;12406;4479;1698;670;554;1302;764;1517;2760;1075;17192;16478;1876;5572;1033;3220;943;1144;835;1260;3825;1751;15215;3829;4458;1406;3409;2195;2133;1175;1026;1685;2391;1973;1200;9666;3645;856;985;1957;2028;1780;1324;7783;2637;3226;4971;2038;1638;8181;1815;7529;3553;4117;2325;1695;2613;2150;4367;1790;1385;1932;3340;2739;2319;2026;2684;2054;2160;1812;1528;1574;943;2234;1717;2116;35331;12237;5389;17191;3396;4006;4083;5828;10340;2878;5211;6442;1328;11888;3355;5735;8172;10223;4404;4531;1845;3262;2286;2297;1306;1315;1806;594;875;3363;4583;1436;1118;790;756;877;858;1564;1320;1276;1860;4435;1457;1240;2113;1856;1376;1347;62441;7738;5819;2059;6958;1564;4964;6793;4762;12858;3140;1656;3243;5142;2374;6402;1107;1750;4099;1462;1215;1631;586;1879;545;1416;1201;1324;1952;10869;3310;1372;1900;3287;2099;963;828;1963;1319;943;696;16410;2263;1648;3792;1334;2987;648;1280;1132;2042;780;17814;2905;1620;3337;1832;923;1351;1376;2067;1461;956;974;1568;2625;6921;6082;1503;2181;2958;3316;836;1377;1542;1328;2518;12236;4846;3496;3451;4857;1437;2259;3121;11868;2697;2649;6899;768;944;1838;1650;1406;1020;1407;7333;892;308;709;958;564;421;849;369;384;1054;935;386;12971;1577;9269;858;413;729;520;2230;644;843;2537;1047;9650;5284;3595;1372;3088
;65-74 år;4120;2686;4442;4407;6696;2500;8365;7372;1386;7477;3805;2574;993;6446;2876;5899;82923;8323;9034;3864;6789;4724;1417;8897;3588;3352;2099;1247;1570;1845;2634;21240;4970;3245;1317;1482;6795;1648;2448;4153;11071;4490;1946;773;597;1423;781;1556;2767;1313;14460;14641;1992;5398;1224;3029;878;1136;958;1237;3168;1505;13539;3522;3808;1417;3366;2320;2212;1201;1064;1724;2399;1839;1309;9234;3357;827;1109;2382;1915;1815;1260;7412;2433;3354;5377;1989;2096;8317;1653;7514;3640;3942;2343;1443;2100;1739;4088;1695;1265;1589;3091;2299;2183;1826;2468;1938;1915;1822;1655;1665;806;2106;1526;2434;28201;11307;5143;14598;3777;3333;4425;5077;9676;3507;5173;5996;1261;10849;3584;5766;8215;8474;3302;3466;1769;2733;2537;2484;1713;1342;2007;656;961;2840;3730;1385;1119;791;821;1072;885;1551;1486;1325;1602;4232;1499;1247;2029;1862;1372;1309;49970;5790;4661;2310;6129;1597;4527;5851;4831;11002;3028;1661;3185;4732;2178;5786;1344;1487;3685;1566;1121;1726;661;1803;486;1364;1260;1281;1765;9946;3339;1508;1733;3534;2046;941;833;1946;1379;946;780;15019;2291;1763;3628;1507;3073;716;1307;1129;1953;871;15244;3027;1588;3179;1799;925;1403;1388;2375;1906;990;1017;1691;2998;7201;5526;1603;2102;3065;3357;967;1351;1692;1429;2750;10948;4806;3788;3660;5230;1343;2241;3433;11120;2834;2832;7258;800;978;1817;1807;1210;1072;1568;7326;1054;347;793;993;611;459;860;361;394;984;941;444;11971;1565;9201;821;395;761;556;2353;842;1129;2279;1051;8567;5475;3786;1687;2503
